,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
INO80E4,0.000107562815370476,0.016044791,0.124,0.161,1,COCH+ Fb,INO80E
VEZT5,0.000107883806995134,0.171667113,0.235,0.224,1,COCH+ Fb,VEZT
PARP43,0.000107945193666664,0.026085113,0.142,0.181,1,COCH+ Fb,PARP4
EWSR16,0.000108216404265355,0.16598771,0.396,0.402,1,COCH+ Fb,EWSR1
NOL103,0.000108255509230059,0.018596756,0.114,0.148,1,COCH+ Fb,NOL10
HYI3,0.000108734717762149,0.121732241,0.214,0.198,1,COCH+ Fb,HYI
DENND4A4,0.00010933856222961,0.119387633,0.215,0.199,1,COCH+ Fb,DENND4A
LRRC473,0.000109866566595869,0.016208247,0.099,0.13,1,COCH+ Fb,LRRC47
AFG3L22,0.000110680204620076,0.022973731,0.165,0.208,1,COCH+ Fb,AFG3L2
CDK11B2,0.000112192719213866,0.14587869,0.175,0.159,1,COCH+ Fb,CDK11B
CDK104,0.000112701077551046,0.011277913,0.092,0.121,1,COCH+ Fb,CDK10
PHLDA14,0.000113419201282599,0.071086328,0.346,0.319,1,COCH+ Fb,PHLDA1
FRS22,0.000116000022887732,0.129919181,0.231,0.216,1,COCH+ Fb,FRS2
SRP682,0.00011998628630004,0.01856856,0.143,0.182,1,COCH+ Fb,SRP68
ING24,0.000122745440576773,0.133767374,0.2,0.182,1,COCH+ Fb,ING2
JPX2,0.000123186471239294,0.165398751,0.276,0.269,1,COCH+ Fb,JPX
NFXL11,0.000124085744193265,0.123155016,0.111,0.093,1,COCH+ Fb,NFXL1
ZNF4302,0.000125890380382743,0.119602077,0.146,0.128,1,COCH+ Fb,ZNF430
ZDHHC73,0.000126764072049185,0.012795166,0.125,0.16,1,COCH+ Fb,ZDHHC7
UBR53,0.000128889427434479,0.168506539,0.295,0.289,1,COCH+ Fb,UBR5
NF15,0.000130892086314563,0.018485124,0.22,0.274,1,COCH+ Fb,NF1
SCAF14,0.000131519734425689,0.019261248,0.108,0.14,1,COCH+ Fb,SCAF1
TSPYL52,0.000132090659972359,0.010836048,0.078,0.104,1,COCH+ Fb,TSPYL5
CSNK1G32,0.000132669746265115,0.171855774,0.265,0.257,1,COCH+ Fb,CSNK1G3
EPHB42,0.000133221710557537,0.09912003,0.12,0.102,1,COCH+ Fb,EPHB4
TAOK33,0.000133977727053297,0.183999822,0.298,0.296,1,COCH+ Fb,TAOK3
ARPP192,0.00013458824667773,0.132021595,0.352,0.353,1,COCH+ Fb,ARPP19
LMBRD14,0.000134667095676931,0.115863733,0.254,0.24,1,COCH+ Fb,LMBRD1
RAE13,0.000136886078417856,0.014661031,0.098,0.128,1,COCH+ Fb,RAE1
RNF1703,0.000137567453189106,0.024956897,0.1,0.131,1,COCH+ Fb,RNF170
TSC22D24,0.00013947508254959,0.06591896,0.363,0.351,1,COCH+ Fb,TSC22D2
CALCOCO25,0.000140233262167424,0.122624165,0.364,0.361,1,COCH+ Fb,CALCOCO2
HAUS31,0.000140578668897095,0.07400659,0.102,0.084,1,COCH+ Fb,HAUS3
