genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
BCCIP,0.00171505703113446,0.0450547017176309,0.207,0.199,1
STRADA,0.00171535509895371,0.0350814257167744,0.09,0.11,1
CLUAP1,0.00171683278172208,0.052973974444849,0.21,0.201,1
GNG5,0.00180768069384506,-0.069202803,0.774,0.718,1
EIF1AX,0.0018202710802672,-0.076607945,0.624,0.595,1
SESN2,0.00182613540591052,-0.02636022,0.092,0.109,1
YPEL5,0.0018314589848668,-0.027128165,0.423,0.424,1
GORASP2,0.00188336561981928,-0.092061624,0.424,0.471,1
ATG2B,0.00192394513319973,0.052988605251498,0.146,0.135,1
ZFP36,0.00194009390391432,-0.523761611,0.654,0.61,1
TSPAN5,0.0019921166669617,-0.07423164,0.19,0.217,1
COX7A2,0.00201572014981168,-0.126938879,0.862,0.825,1
YEATS4,0.00202320773510175,-0.032464547,0.09,0.107,1
TMEM176A,0.00203599033158572,0.115432923457802,0.456,0.451,1
STXBP5,0.00204650898870795,0.016466907674152,0.153,0.181,1
GFPT1,0.00205198960224267,-0.021891065,0.403,0.406,1
UPF1,0.00205766825426551,0.0494485627747245,0.188,0.178,1
SPECC1L,0.00208984305752427,0.0851508552458574,0.199,0.193,1
CYB5R4,0.00213584437357328,0.0384820951468582,0.126,0.114,1
PRIM2,0.00213748404583863,0.0299193493525494,0.1,0.089,1
ZBTB1,0.00213850707897178,0.0285896661861718,0.223,0.215,1
JMJD1C,0.00221411539949986,-0.018879116,0.486,0.49,1
CPSF2,0.00225391830689149,0.0478981533499516,0.209,0.201,1
RAB6A,0.00229378372214258,-0.090190259,0.386,0.431,1
COG1,0.00231808077965316,0.0509779385941552,0.14,0.129,1
PLAC9,0.00242116665425911,-0.241725066,0.798,0.781,1
NCBP3,0.00242877928598125,0.0403858213915186,0.254,0.249,1
YIPF2,0.00243211688703303,-0.060824023,0.37,0.419,1
SRSF8,0.00244588210033435,-0.053692691,0.262,0.299,1
MED7,0.00251895093905959,0.0214723945179085,0.132,0.121,1
CYBC1,0.00252640644302382,0.0554056113036565,0.353,0.359,1
CAPZB,0.00253126147401316,-0.104189313,0.847,0.75,1
KIAA1586,0.00253524889323797,-0.011180023,0.136,0.158,1
TRPC1,0.00264314720198415,0.030678345229065,0.11,0.099,1
TEAD1,0.00264616324958755,0.0630028809166544,0.404,0.41,1
C2CD2,0.00265648146861768,0.0350520326019811,0.153,0.141,1
PMS1,0.00267421068673072,0.0370183731391409,0.131,0.119,1
BNIP3,0.00267915572119908,-0.15522459,0.382,0.411,1
FMNL3,0.0026943675345788,0.0145170010725894,0.223,0.215,1
SEC63,0.00275156707477777,-0.081756637,0.486,0.527,1
ANAPC5,0.00276963578496986,-0.06013916,0.538,0.539,1
PEX11B,0.00278282208978408,0.0409513015551175,0.106,0.095,1
HEY2,0.00284763277193751,-0.017156614,0.252,0.241,1
MFSD5,0.00290836766856347,-0.014059745,0.133,0.155,1
ATP6V0A2,0.00293451679112599,0.0323539268002214,0.141,0.13,1
SCAF8,0.00294316538604642,0.0507774961564753,0.149,0.138,1
MMS19,0.0029945511170715,0.0458521808568349,0.123,0.112,1
PCNX3,0.00299652607108645,0.0585157176936439,0.167,0.157,1
CSNK1G3,0.00304427959914229,-0.083620223,0.259,0.293,1
UFSP2,0.00304774196858874,-0.05864302,0.302,0.343,1
SEC24D,0.00306166067678939,-0.081282745,0.487,0.528,1
MEST,0.00309469683216333,-0.040934466,0.13,0.149,1
IPO9,0.00311275246355689,0.0683493813821472,0.224,0.217,1
