,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Khk1,1.29365456526646e-20,0.0241923799957253,0.107,0.059,2.57708925946731e-16,Fibroblast,Khk
Ethe12,1.31257251277104e-20,0.0173565823265782,0.249,0.166,2.61477570269119e-16,Fibroblast,Ethe1
Zfp2171,1.33084961089075e-20,0.0102072222176737,0.164,0.102,2.65118550985545e-16,Fibroblast,Zfp217
Ndufa72,1.49038340313753e-20,0.0195845353173409,0.662,0.501,2.96899277739027e-16,Fibroblast,Ndufa7
Ppie3,1.72017139136015e-20,0.0263666151077626,0.166,0.103,3.42675342872856e-16,Fibroblast,Ppie
Psmc22,1.91530774338687e-20,0.0244018338010803,0.358,0.252,3.81548455560098e-16,Fibroblast,Psmc2
Gpatch42,2.00496118692258e-20,0.0109265630778132,0.115,0.065,3.99408318046848e-16,Fibroblast,Gpatch4
Rnf1263,2.14842842892546e-20,0.0263362471465018,0.184,0.118,4.27988427326241e-16,Fibroblast,Rnf126
Ino801,2.29188209425861e-20,0.0237575279416911,0.267,0.181,4.56565831997258e-16,Fibroblast,Ino80
Polg23,2.33605853671718e-20,0.0852737987010507,0.142,0.087,4.6536622109943e-16,Fibroblast,Polg2
Nup851,2.43404718460062e-20,0.0281973445853493,0.109,0.061,4.8488653964429e-16,Fibroblast,Nup85
Cc2d1b1,2.47801794368557e-20,0.0449866574306056,0.128,0.075,4.93645954561601e-16,Fibroblast,Cc2d1b
Nkiras11,2.56613900741183e-20,0.0145096069346586,0.116,0.066,5.1120055166651e-16,Fibroblast,Nkiras1
Noc3l1,2.58871806515868e-20,0.0425531351739387,0.107,0.06,5.1569852576026e-16,Fibroblast,Noc3l
Scai1,2.62075165373736e-20,0.0127889265637789,0.136,0.08,5.2207993694102e-16,Fibroblast,Scai
Fbxl183,2.6218653699254e-20,0.0821261083474784,0.111,0.063,5.22301800342839e-16,Fibroblast,Fbxl18
Rilpl13,2.9687207665731e-20,0.0180134170254616,0.146,0.088,5.91398863909027e-16,Fibroblast,Rilpl1
Wdr36,3.01559346429123e-20,0.02597281444502,0.107,0.06,6.00736374021455e-16,Fibroblast,Wdr36
Smn12,3.06731906613678e-20,0.0129513500322963,0.168,0.105,6.11040631165108e-16,Fibroblast,Smn1
Rps253,3.13677358920502e-20,0.0706579878567535,0.892,0.817,6.24876666705532e-16,Fibroblast,Rps25
Isg20l21,3.14326946411536e-20,0.0331447031176089,0.177,0.112,6.26170709946422e-16,Fibroblast,Isg20l2
Fars22,3.30597756463522e-20,0.0256523337058923,0.13,0.077,6.58583790650982e-16,Fibroblast,Fars2
Rflnb1,3.48681678243407e-20,0.0166542932956512,0.191,0.124,6.94608771228691e-16,Fibroblast,Rflnb
Plekhg23,3.76677475171815e-20,0.0492078608369916,0.294,0.203,7.50379198289772e-16,Fibroblast,Plekhg2
Fbxl141,4.01410075963374e-20,0.0247265846900162,0.135,0.08,7.99649012326638e-16,Fibroblast,Fbxl14
Nifk2,4.09180423770362e-20,0.0230408812048196,0.158,0.098,8.15128322192938e-16,Fibroblast,Nifk
Pstk3,4.95254926581037e-20,0.0219286273979115,0.119,0.069,9.86597339242084e-16,Fibroblast,Pstk
Phc11,6.13949356156357e-20,0.0122403105613434,0.127,0.074,1.22304851239908e-15,Fibroblast,Phc1
Trip41,7.06802468919358e-20,0.0165057784867043,0.119,0.069,1.40802119833425e-15,Fibroblast,Trip4
Gm170561,7.36296020641519e-20,0.0369860547375205,0.104,0.058,1.46677530271997e-15,Fibroblast,Gm17056
Osbpl21,8.69981121255617e-20,0.0311238625390406,0.121,0.07,1.73308939165332e-15,Fibroblast,Osbpl2
Zdhhc61,8.83405397071403e-20,0.0150654520290442,0.115,0.066,1.75983189150594e-15,Fibroblast,Zdhhc6
Maea1,9.36378910947084e-20,0.019277433420404,0.233,0.155,1.86536042849769e-15,Fibroblast,Maea
Uqcrh3,1.01138755146197e-19,0.0823759866079263,0.809,0.677,2.01478514126739e-15,Fibroblast,Uqcrh
Nckap5l2,1.11522605528376e-19,0.0345091270252287,0.164,0.103,2.22164182473078e-15,Fibroblast,Nckap5l
Gpx42,1.17140900451506e-19,0.0272312670893737,0.739,0.585,2.33356387789445e-15,Fibroblast,Gpx4
Ntpcr1,1.19573572039984e-19,0.0148362947692122,0.127,0.075,2.38202512860852e-15,Fibroblast,Ntpcr
Edrf12,1.22532033181723e-19,0.0332672332749739,0.126,0.075,2.4409606330131e-15,Fibroblast,Edrf1
Prdm21,1.22795095213714e-19,0.0297279383460709,0.506,0.37,2.44620109175239e-15,Fibroblast,Prdm2
Ccdc93,1.26341280518528e-19,0.0186847496796573,0.101,0.056,2.51684464920959e-15,Fibroblast,Ccdc93
Dtd12,1.46102327737534e-19,0.0232624605337597,0.142,0.087,2.91050447085942e-15,Fibroblast,Dtd1
Ccp1101,1.47350207891492e-19,0.014089049758703,0.113,0.065,2.9353634914064e-15,Fibroblast,Ccp110
Tsr31,1.61690524974544e-19,0.0313575620218328,0.115,0.067,3.2210369480179e-15,Fibroblast,Tsr3
Thumpd12,1.63223220913652e-19,0.0144311762651604,0.14,0.085,3.25156978382087e-15,Fibroblast,Thumpd1
Zfp1481,1.79589737998874e-19,0.0194878997793118,0.381,0.271,3.57760717067556e-15,Fibroblast,Zfp148
1110059G10Rik2,1.90420002130954e-19,0.0239257677413844,0.136,0.082,3.79335686245073e-15,Fibroblast,1110059G10Rik
Slc6a172,1.90420586310586e-19,0.0412440848052905,0.15,0.092,3.79336849989319e-15,Fibroblast,Slc6a17
Cep170b2,2.0582450863534e-19,0.0158896347692516,0.149,0.091,4.10023003652461e-15,Fibroblast,Cep170b
Metap1d3,2.36670440831684e-19,0.0327916862664127,0.124,0.074,4.71471185180798e-15,Fibroblast,Metap1d
Fubp11,2.47409104618593e-19,0.0258485106727031,0.628,0.464,4.928636773107e-15,Fibroblast,Fubp1
Nav31,2.69370847775793e-19,0.0772805388876978,0.105,0.06,5.36613665854157e-15,Fibroblast,Nav3
Zfp361,2.74600524659089e-19,0.0465452744153327,0.868,0.78,5.4703170517337e-15,Fibroblast,Zfp36
Gpr1082,2.74671790746367e-19,0.0203056585190804,0.186,0.12,5.47173674345838e-15,Fibroblast,Gpr108
Pex192,3.12838758795837e-19,0.0202593886061912,0.167,0.106,6.23206091397186e-15,Fibroblast,Pex19
Abca51,3.60242355470091e-19,0.0259953079228089,0.14,0.085,7.17638796331968e-15,Fibroblast,Abca5
Zc3h7a1,3.72095462394171e-19,0.0278397958657965,0.52,0.385,7.41251370635428e-15,Fibroblast,Zc3h7a
Rnf2202,3.99117567576638e-19,0.0121263668978024,0.178,0.114,7.95082106369421e-15,Fibroblast,Rnf220
Syvn11,4.02811836758496e-19,0.0291080123298477,0.165,0.104,8.02441460006599e-15,Fibroblast,Syvn1
Jade13,4.16536533365414e-19,0.0256543216757527,0.131,0.079,8.29782428117241e-15,Fibroblast,Jade1
Srsf61,4.23783363676175e-19,0.012515752304977,0.557,0.411,8.44218838779307e-15,Fibroblast,Srsf6
Gfm1,4.30774218414421e-19,0.0337532474806507,0.112,0.065,8.58145320503368e-15,Fibroblast,Gfm1
Fzd82,4.89090600040797e-19,0.0482695173215457,0.101,0.057,9.74317384341271e-15,Fibroblast,Fzd8
Polr1d2,5.32674527774925e-19,0.0320059321153019,0.668,0.505,1.06114092678043e-14,Fibroblast,Polr1d
Tmtc33,5.78489305584437e-19,0.0146710556662978,0.151,0.094,1.15240854565476e-14,Fibroblast,Tmtc3
Pycrl1,6.01206031194283e-19,0.0162961905252058,0.104,0.058,1.19766253474213e-14,Fibroblast,Pycrl
Cwc272,6.17726661450929e-19,0.0277502865332493,0.139,0.085,1.2305732822764e-14,Fibroblast,Cwc27
Aig12,6.28184471933464e-19,0.0257161137676308,0.205,0.137,1.25140628653865e-14,Fibroblast,Aig1
Mthfr2,6.34568537624721e-19,0.038266132523718,0.16,0.101,1.26412398380221e-14,Fibroblast,Mthfr
Fam98b2,6.43111411711965e-19,0.0324938770220307,0.206,0.136,1.28114224327141e-14,Fibroblast,Fam98b
Rpf21,6.68248054809186e-19,0.0171297155236311,0.108,0.062,1.33121694998538e-14,Fibroblast,Rpf2
Ptk71,6.925832403257e-19,0.0337447296533692,0.206,0.136,1.37969507305283e-14,Fibroblast,Ptk7
Blzf13,7.0119408107477e-19,0.0370074993649945,0.13,0.078,1.39684872890905e-14,Fibroblast,Blzf1
Gle13,7.02053077431272e-19,0.0429597156984066,0.137,0.084,1.39855993555084e-14,Fibroblast,Gle1
Cog3,7.07724521456469e-19,0.0222005099994953,0.113,0.066,1.40985801919343e-14,Fibroblast,Cog3
Rbbp62,7.16400996843057e-19,0.0896358878404473,0.758,0.589,1.42714242581105e-14,Fibroblast,Rbbp6
Bcl2l22,7.53999049902877e-19,0.0259125570726672,0.166,0.105,1.50204150731152e-14,Fibroblast,Bcl2l2
Washc12,7.78784531039114e-19,0.0230640418300363,0.152,0.095,1.55141666428302e-14,Fibroblast,Washc1
Opa12,8.21775957925538e-19,0.0200123546232552,0.191,0.125,1.63705988578346e-14,Fibroblast,Opa1
Mad2l1bp2,1.15007248311141e-18,0.0372392978268557,0.136,0.083,2.29105939360625e-14,Fibroblast,Mad2l1bp
Ruvbl11,1.17345922639522e-18,0.0100406135393346,0.212,0.142,2.33764812490191e-14,Fibroblast,Ruvbl1
Htt1,1.24370288096998e-18,0.0370087982888019,0.274,0.191,2.4775805091803e-14,Fibroblast,Htt
Rrp92,1.26131976267556e-18,0.0544909971028754,0.128,0.078,2.51267509922598e-14,Fibroblast,Rrp9
Aspscr11,1.26857039028584e-18,0.0183751325250825,0.158,0.1,2.52711907448842e-14,Fibroblast,Aspscr1
Atg102,1.36915494911176e-18,0.0274101821967718,0.112,0.065,2.72749357412555e-14,Fibroblast,Atg10
Vps161,1.39510298436146e-18,0.0209002821891268,0.125,0.075,2.77918465514647e-14,Fibroblast,Vps16
Psmf1,1.3978835707967e-18,0.0130097989726333,0.112,0.065,2.7847238613841e-14,Fibroblast,Psmf1
Zscan263,1.45403535220879e-18,0.0159169584247875,0.135,0.082,2.89658382513514e-14,Fibroblast,Zscan26
Qtrt11,1.49739946725138e-18,0.0132207468924136,0.14,0.086,2.98296947871148e-14,Fibroblast,Qtrt1
