,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
St133,0.00060200260408613,0.466924914433076,0.532,0.483,1,Melanocyte,St13
Kif16b2,0.000611574663189364,0.253869283470496,0.144,0.078,1,Melanocyte,Kif16b
Stam3,0.000616567413097217,0.300607030949454,0.218,0.142,1,Melanocyte,Stam
Dgcr8,0.000617192805325918,0.154662040128793,0.122,0.063,1,Melanocyte,Dgcr8
Dcbld11,0.000619548188748793,0.0799639372944878,0.101,0.047,1,Melanocyte,Dcbld1
Cpeb42,0.000620026247708545,0.339729656140968,0.505,0.443,1,Melanocyte,Cpeb4
Zfp3181,0.000624898589477066,0.25054549697042,0.197,0.121,1,Melanocyte,Zfp318
Ypel22,0.000629220839780905,0.147123253635061,0.223,0.136,1,Melanocyte,Ypel2
Uqcrq3,0.000630351183979178,0.356751459371482,0.585,0.561,1,Melanocyte,Uqcrq
Vps351,0.000631169466460912,0.431152305001839,0.415,0.341,1,Melanocyte,Vps35
Decr13,0.000631198456890768,0.216062927093935,0.16,0.091,1,Melanocyte,Decr1
Sgk32,0.000645862295983283,0.307600003808578,0.197,0.119,1,Melanocyte,Sgk3
Wee13,0.000654939363076224,0.188080013585235,0.133,0.071,1,Melanocyte,Wee1
Foxo41,0.000657565388195963,0.11723993112224,0.117,0.059,1,Melanocyte,Foxo4
Pkn23,0.000663014557773197,0.389821301486611,0.58,0.52,1,Melanocyte,Pkn2
Ormdl22,0.000663039393523806,0.137229060001807,0.181,0.106,1,Melanocyte,Ormdl2
Uqcrfs13,0.000663481877330794,0.460056970007162,0.426,0.363,1,Melanocyte,Uqcrfs1
Bcar13,0.000663601665662208,0.288146410132311,0.207,0.131,1,Melanocyte,Bcar1
Atm1,0.000671835699975405,0.183673691177855,0.128,0.066,1,Melanocyte,Atm
Acot132,0.000679739031000374,0.165241006353154,0.207,0.128,1,Melanocyte,Acot13
Mtch13,0.00068291274627676,0.367623858034519,0.5,0.436,1,Melanocyte,Mtch1
Cep1644,0.000684119176969443,0.221158952790117,0.239,0.159,1,Melanocyte,Cep164
Gcn1l14,0.000685755407103085,0.325963957899012,0.223,0.147,1,Melanocyte,Gcn1l1
Cnbp4,0.000688668640770494,0.393338012016157,0.644,0.593,1,Melanocyte,Cnbp
Ap3b12,0.000688737478417723,0.313832182517055,0.298,0.213,1,Melanocyte,Ap3b1
Cdc42ep32,0.000691533525510431,0.261230835697144,0.309,0.208,1,Melanocyte,Cdc42ep3
5031439G07Rik1,0.000698152018018107,0.286565485173885,0.298,0.206,1,Melanocyte,5031439G07Rik
Ptges32,0.000702965485199419,0.403568896555106,0.569,0.503,1,Melanocyte,Ptges3
G6pc32,0.000705944071292374,0.178067732166482,0.133,0.071,1,Melanocyte,G6pc3
Nbn1,0.000712343988785508,0.31142217683661,0.138,0.077,1,Melanocyte,Nbn
Uri14,0.00071960512169701,0.344340403220256,0.271,0.184,1,Melanocyte,Uri1
Abhd52,0.000740890649008012,0.268994069116128,0.303,0.217,1,Melanocyte,Abhd5
Ndufaf81,0.000752908530510758,0.251012273996415,0.261,0.176,1,Melanocyte,Ndufaf8
Ptgr23,0.000756865961222515,0.161534933312534,0.144,0.078,1,Melanocyte,Ptgr2
Zfp6551,0.000758222851728031,0.345632717944402,0.34,0.257,1,Melanocyte,Zfp655
Ndufa18,0.000762883050794392,0.348758227366501,0.521,0.457,1,Melanocyte,Ndufa1
Nckap5l3,0.000763271712909363,0.31978108560656,0.186,0.114,1,Melanocyte,Nckap5l
Map3k16,0.000763752540062582,0.292161778442278,0.293,0.203,1,Melanocyte,Map3k1
Gmds2,0.000776560414424257,0.223372402534031,0.154,0.087,1,Melanocyte,Gmds
Hlf,0.000781631793288935,0.0294533498074517,0.144,0.076,1,Melanocyte,Hlf
Impact2,0.000786769840312027,0.386903788036491,0.33,0.239,1,Melanocyte,Impact
Senp64,0.000800880372346013,0.293309315370315,0.548,0.475,1,Melanocyte,Senp6
Cdo12,0.000801022389054753,0.332709108154954,0.101,0.049,1,Melanocyte,Cdo1
Mecp22,0.000810860309485832,0.333619276542692,0.282,0.197,1,Melanocyte,Mecp2
Ppdpf3,0.000811131421255918,0.326730350001832,0.287,0.209,1,Melanocyte,Ppdpf
Xpo72,0.000814872614231688,0.312002160633989,0.229,0.149,1,Melanocyte,Xpo7
Wdr15,0.00082224032154836,0.398039518528046,0.436,0.364,1,Melanocyte,Wdr1
Rab3ip2,0.00083340558526451,0.182256676749665,0.133,0.072,1,Melanocyte,Rab3ip
Nipa22,0.000840924832069894,0.395452732342287,0.362,0.275,1,Melanocyte,Nipa2
Haus41,0.00085852704414708,0.181303313818143,0.122,0.064,1,Melanocyte,Haus4
Anp32e3,0.000860485174547185,0.444129924725382,0.431,0.361,1,Melanocyte,Anp32e
Tia11,0.000863469799418265,0.304091641417867,0.255,0.172,1,Melanocyte,Tia1
Ddx171,0.000866327455991019,0.450243688758882,0.553,0.487,1,Melanocyte,Ddx17
Sh2b11,0.000877974260516802,0.154699781713252,0.16,0.091,1,Melanocyte,Sh2b1
Plcb42,0.000878830842025703,0.171818981376127,0.218,0.136,1,Melanocyte,Plcb4
Iars23,0.000888183906210907,0.265674781777937,0.223,0.145,1,Melanocyte,Iars2
Prmt9,0.000896169990865003,0.192373770198617,0.101,0.049,1,Melanocyte,Prmt9
Zbtb204,0.000897890891416249,0.10178355837114,0.622,0.485,1,Melanocyte,Zbtb20
Helz1,0.000910039274089689,0.285864147936993,0.271,0.186,1,Melanocyte,Helz
Aph1a2,0.000926968324896162,0.323709916063861,0.314,0.241,1,Melanocyte,Aph1a
Dad13,0.000931178293899743,0.301287529706902,0.601,0.549,1,Melanocyte,Dad1
Wdr122,0.000936757537701177,0.218716500211849,0.165,0.095,1,Melanocyte,Wdr12
Pcif12,0.000941713791417717,0.309458809497386,0.314,0.227,1,Melanocyte,Pcif1
Mff2,0.000958555461065279,0.372951634312932,0.346,0.266,1,Melanocyte,Mff
Hsd17b114,0.000962268135826187,0.251316014722336,0.255,0.174,1,Melanocyte,Hsd17b11
Commd101,0.000963044517182652,0.189879710175236,0.138,0.076,1,Melanocyte,Commd10
Cgrrf14,0.000972581491179848,0.295479564618224,0.239,0.162,1,Melanocyte,Cgrrf1
Rangrf4,0.000985034898110819,0.257781927490756,0.133,0.073,1,Melanocyte,Rangrf
Srrm12,0.00100123392519528,0.372540818348253,0.617,0.553,1,Melanocyte,Srrm1
Mbnl13,0.00100500198424401,0.25524050967237,0.574,0.499,1,Melanocyte,Mbnl1
Taf32,0.00101915244384142,0.289846820302719,0.239,0.159,1,Melanocyte,Taf3
Plscr12,0.00102113307489593,0.114461625413356,0.218,0.132,1,Melanocyte,Plscr1
Mdn12,0.00104285583231324,0.309506306228101,0.213,0.136,1,Melanocyte,Mdn1
Supt162,0.00104518320121917,0.354323671991855,0.404,0.32,1,Melanocyte,Supt16
Rps112,0.00105074850028122,0.161828745619565,0.851,0.834,1,Melanocyte,Rps11
Mettl13,0.00105152029134952,0.285384913077716,0.181,0.11,1,Melanocyte,Mettl1
Ncapd33,0.00105370667749464,0.111632259531931,0.165,0.095,1,Melanocyte,Ncapd3
Kat72,0.00105808237470129,0.188869452712555,0.176,0.104,1,Melanocyte,Kat7
Cspg43,0.00105877849800237,0.249157253243744,0.207,0.129,1,Melanocyte,Cspg4
Thop12,0.00106263375144523,0.216311842517123,0.122,0.065,1,Melanocyte,Thop1
Atp5o.14,0.00108129116827305,0.367717118940414,0.511,0.469,1,Melanocyte,Atp5o.1
Glmp2,0.0010977805214854,0.402752871808548,0.33,0.26,1,Melanocyte,Glmp
H2afv4,0.0011257746823637,0.416180654349067,0.479,0.412,1,Melanocyte,H2afv
Cklf2,0.00112584644779645,0.287393376089952,0.197,0.122,1,Melanocyte,Cklf
Pcbp23,0.00113373484780852,0.332282155865952,0.686,0.667,1,Melanocyte,Pcbp2
Zranb12,0.00113448416706186,0.371221918233157,0.426,0.348,1,Melanocyte,Zranb1
Larp43,0.00113643485097343,0.48904758934454,0.447,0.384,1,Melanocyte,Larp4
Rpl273,0.00115291110931161,0.345845660876979,0.66,0.611,1,Melanocyte,Rpl27
Hcfc12,0.00115643740251165,0.323281460067447,0.271,0.187,1,Melanocyte,Hcfc1
Coq10a,0.00116905606940203,0.17772908188832,0.122,0.065,1,Melanocyte,Coq10a
Rpl317,0.0011832213234246,0.267921915095219,0.739,0.684,1,Melanocyte,Rpl31
Tubg1,0.00118334505967463,0.0897674311285087,0.101,0.049,1,Melanocyte,Tubg1
Coq23,0.0011852817358633,0.270826081024226,0.176,0.106,1,Melanocyte,Coq2
Elof14,0.00120328247271509,0.346599595640981,0.277,0.199,1,Melanocyte,Elof1
Tmem2053,0.0012215905258139,0.264686130036177,0.223,0.148,1,Melanocyte,Tmem205
E4f1,0.00123075695534544,0.183248504744895,0.128,0.069,1,Melanocyte,E4f1
Alg21,0.00123472034067927,0.122254942053885,0.101,0.05,1,Melanocyte,Alg2
Scmh12,0.00124969587735754,0.290371249573268,0.191,0.123,1,Melanocyte,Scmh1
Tcp11l23,0.0012518259207539,0.377756193076488,0.362,0.281,1,Melanocyte,Tcp11l2
Vapa3,0.00125834006808271,0.321424080581879,0.569,0.532,1,Melanocyte,Vapa
Sesn33,0.0012676695798453,0.313594141712005,0.293,0.209,1,Melanocyte,Sesn3
Slc15a21,0.00131209398924199,0.249499354410569,0.202,0.127,1,Melanocyte,Slc15a2
Map3k113,0.0013134691412187,0.143031714134582,0.207,0.128,1,Melanocyte,Map3k11
Aldh16a11,0.00132137144251893,0.236864711489467,0.138,0.077,1,Melanocyte,Aldh16a1
Abhd43,0.00132395425840398,0.148172902608987,0.138,0.078,1,Melanocyte,Abhd4
Gbp23,0.00133315935048227,0.172137250067918,0.074,0.161,1,Melanocyte,Gbp2
Rbx13,0.00134069373842975,0.358767546037499,0.569,0.523,1,Melanocyte,Rbx1
Bcl7a3,0.00134980221405106,0.135151022167239,0.122,0.066,1,Melanocyte,Bcl7a
Lrpprc3,0.00136149711363272,0.109570805485398,0.16,0.093,1,Melanocyte,Lrpprc
Tmem1921,0.00138222823914246,0.157560071982662,0.16,0.093,1,Melanocyte,Tmem192
Vamp82,0.00139537223269524,0.255776187518638,0.521,0.453,1,Melanocyte,Vamp8
Nr2c2ap2,0.00140937433871693,0.112742537221814,0.149,0.086,1,Melanocyte,Nr2c2ap
Churc12,0.00143759748044904,0.30984071894211,0.33,0.256,1,Melanocyte,Churc1
Rcor33,0.0014452934911872,0.295989693846498,0.191,0.122,1,Melanocyte,Rcor3
Prdm52,0.00145872919820264,0.193994396679892,0.106,0.055,1,Melanocyte,Prdm5
Ppt23,0.00146648876672974,0.134830975051996,0.17,0.101,1,Melanocyte,Ppt2
Phc23,0.00146735847834098,0.288796593048951,0.309,0.229,1,Melanocyte,Phc2
BC0297222,0.00149878337238121,0.138922743980371,0.154,0.089,1,Melanocyte,BC029722
Btbd33,0.00150720161246017,0.236883424745117,0.202,0.128,1,Melanocyte,Btbd3
Lamtor32,0.00151943221573567,0.338647801008747,0.388,0.306,1,Melanocyte,Lamtor3
Rrp13,0.00152737289901757,0.413088377049361,0.436,0.374,1,Melanocyte,Rrp1
Anapc163,0.00154049315910429,0.304046607937467,0.378,0.299,1,Melanocyte,Anapc16
Nup133,0.0015990328971683,0.12273678873688,0.106,0.054,1,Melanocyte,Nup133
Txndc152,0.0016001921610269,0.235088827359569,0.25,0.175,1,Melanocyte,Txndc15
Ndufa65,0.00162509750229966,0.281094832676565,0.564,0.5,1,Melanocyte,Ndufa6
Pik3ca1,0.00162769179131398,0.430040088955265,0.346,0.26,1,Melanocyte,Pik3ca
Bod1l4,0.00164505694954468,0.387589363919288,0.41,0.335,1,Melanocyte,Bod1l
Arhgap123,0.00164872190350929,0.310824782352791,0.154,0.094,1,Melanocyte,Arhgap12
Gigyf22,0.00166120205159875,0.318159352187668,0.271,0.189,1,Melanocyte,Gigyf2
Clk12,0.00167870086974959,0.346096453104074,0.707,0.678,1,Melanocyte,Clk1
Stim12,0.00172175666239908,0.245911163638321,0.319,0.238,1,Melanocyte,Stim1
Utrn3,0.00172570231779479,0.158187568674191,0.457,0.367,1,Melanocyte,Utrn
Trim444,0.00173448688316446,0.304957129754665,0.319,0.242,1,Melanocyte,Trim44
Uhrf21,0.00174758796039823,0.340788313957528,0.463,0.378,1,Melanocyte,Uhrf2
Srsf103,0.00175059237053803,0.383047945174691,0.489,0.432,1,Melanocyte,Srsf10
Huwe13,0.00176008172400242,0.314698669119041,0.553,0.483,1,Melanocyte,Huwe1
Mgst12,0.0017889497889537,0.0360172171281177,0.447,0.334,1,Melanocyte,Mgst1
Slf12,0.00181148673281741,0.203770206141851,0.128,0.072,1,Melanocyte,Slf1
Rps6kb12,0.00181636374533835,0.473946965772295,0.41,0.35,1,Melanocyte,Rps6kb1
Ndufb55,0.00181742685155738,0.361473852474051,0.473,0.435,1,Melanocyte,Ndufb5
Stat22,0.00183330745481381,0.535511645875051,0.33,0.254,1,Melanocyte,Stat2
Tars21,0.00183668179836337,0.100365242256674,0.106,0.055,1,Melanocyte,Tars2
Zfp2602,0.00183831355303566,0.253703146451887,0.213,0.139,1,Melanocyte,Zfp260
Smim201,0.0018388526465703,0.187224354732699,0.165,0.1,1,Melanocyte,Smim20
Igf2r1,0.00184917749508129,0.342095316276321,0.362,0.273,1,Melanocyte,Igf2r
Anapc152,0.001859670075986,0.155845802850398,0.149,0.086,1,Melanocyte,Anapc15
Gprc5b4,0.00186555773935909,0.132280304322977,0.122,0.067,1,Melanocyte,Gprc5b
Phf20l11,0.00186712387730698,0.355182987973569,0.436,0.356,1,Melanocyte,Phf20l1
Cic1,0.00187623770255367,0.325967607216479,0.298,0.225,1,Melanocyte,Cic
Zfp5231,0.00187990733624034,0.156984934612894,0.117,0.062,1,Melanocyte,Zfp523
Ppfia14,0.00188856392793189,0.257209452776388,0.362,0.281,1,Melanocyte,Ppfia1
Rab10os2,0.00190939024924843,0.260658121156013,0.181,0.113,1,Melanocyte,Rab10os
Aar2,0.00191263028814459,0.0709327932098737,0.101,0.051,1,Melanocyte,Aar2
Uvssa3,0.00194228315439077,0.112083108903373,0.16,0.094,1,Melanocyte,Uvssa
Ablim12,0.00197697332143624,0.227899429831384,0.266,0.182,1,Melanocyte,Ablim1
Eif3b3,0.00198879519032575,0.324600488422341,0.388,0.317,1,Melanocyte,Eif3b
Ttc141,0.0019897163268842,0.374162136982163,0.319,0.247,1,Melanocyte,Ttc14
Cdc42se22,0.0020098284037937,0.212599392119975,0.271,0.194,1,Melanocyte,Cdc42se2
Itpr33,0.00203068816507414,0.271421847169165,0.16,0.097,1,Melanocyte,Itpr3
Dcaf16,0.00205198081618296,0.180956775871263,0.223,0.149,1,Melanocyte,Dcaf1
Pde5a2,0.0020683707583281,0.180786267794503,0.149,0.086,1,Melanocyte,Pde5a
Chrac12,0.00209198868198724,0.299474364386487,0.25,0.177,1,Melanocyte,Chrac1
Arhgap323,0.00209543714016732,0.262875907559727,0.202,0.131,1,Melanocyte,Arhgap32
Rpl13a3,0.00210559545979851,0.365764679962296,0.559,0.535,1,Melanocyte,Rpl13a
Clcn52,0.00211470621235705,0.238542387512537,0.144,0.083,1,Melanocyte,Clcn5
Rpl36al6,0.0021204576318084,0.42733010235162,0.511,0.458,1,Melanocyte,Rpl36al
Tecr3,0.00214002708356003,0.238844219693192,0.436,0.353,1,Melanocyte,Tecr
Gyg2,0.00214560846005756,0.112337611682756,0.154,0.091,1,Melanocyte,Gyg
Glce2,0.00214727922435459,0.128771598615162,0.133,0.075,1,Melanocyte,Glce
Sspn3,0.00221182368092412,0.148823752012357,0.176,0.108,1,Melanocyte,Sspn
Mrpl413,0.00221494603898983,0.283137572017221,0.25,0.174,1,Melanocyte,Mrpl41
Nfia4,0.00223344253859937,0.214312296108842,0.372,0.275,1,Melanocyte,Nfia
Ndufa93,0.0022421168888203,0.292771112464778,0.271,0.196,1,Melanocyte,Ndufa9
Plgrkt1,0.00227051029048323,0.290248364314523,0.378,0.303,1,Melanocyte,Plgrkt
Cct54,0.00233406483174095,0.326200457896265,0.489,0.432,1,Melanocyte,Cct5
Tm2d32,0.00233447017588271,0.0968872549248366,0.17,0.103,1,Melanocyte,Tm2d3
Ylpm11,0.00234108427612312,0.30974123336173,0.277,0.193,1,Melanocyte,Ylpm1
Washc51,0.00234382049612582,0.275530138454691,0.149,0.089,1,Melanocyte,Washc5
Ndufa134,0.00237661177588381,0.404087616441486,0.564,0.534,1,Melanocyte,Ndufa13
Ralgps22,0.00238721460657953,0.282847565307752,0.154,0.093,1,Melanocyte,Ralgps2
Med43,0.00239799192265004,0.200801976564055,0.255,0.173,1,Melanocyte,Med4
Gnaq3,0.00242213615397413,0.301921700310948,0.41,0.331,1,Melanocyte,Gnaq
Impad13,0.0024292852697737,0.322482869772106,0.33,0.256,1,Melanocyte,Impad1
Oaz11,0.00244233398429134,0.210666124067263,0.835,0.841,1,Melanocyte,Oaz1
Gpatch81,0.00247264998605661,0.298536850418761,0.394,0.314,1,Melanocyte,Gpatch8
Inpp4b1,0.00248469728813994,0.141653484796879,0.106,0.056,1,Melanocyte,Inpp4b
Cct44,0.00250308247085896,0.348933471126968,0.468,0.4,1,Melanocyte,Cct4
Ubqln42,0.00254401139706227,0.269440759118258,0.16,0.099,1,Melanocyte,Ubqln4
Pcdh73,0.00259749081013339,0.328065925129723,0.207,0.136,1,Melanocyte,Pcdh7
Tcaf14,0.00264769729566138,0.282666444009168,0.229,0.162,1,Melanocyte,Tcaf1
Epc11,0.00265464139982088,0.327249295761392,0.324,0.245,1,Melanocyte,Epc1
Cenpq,0.00265709757101167,0.26915985679541,0.101,0.053,1,Melanocyte,Cenpq
Derl13,0.0026601803372137,0.29627912575654,0.383,0.306,1,Melanocyte,Derl1
Hnrnpdl3,0.00266108735749544,0.334590506928419,0.654,0.598,1,Melanocyte,Hnrnpdl
Ahcyl23,0.00267372750119571,0.229812311657978,0.319,0.241,1,Melanocyte,Ahcyl2
Gm118083,0.00268046649551717,0.268531492249144,0.324,0.253,1,Melanocyte,Gm11808
Mbd34,0.00268423421651845,0.371884222410811,0.362,0.293,1,Melanocyte,Mbd3
Uggt12,0.00272243338299116,0.144835733704735,0.245,0.167,1,Melanocyte,Uggt1
Tada12,0.00272476602494185,0.136432566476582,0.144,0.084,1,Melanocyte,Tada1
Atp6v0b2,0.00272614221933934,0.40273972423281,0.628,0.622,1,Melanocyte,Atp6v0b
Tprkb2,0.00273161657842101,0.201420758170256,0.149,0.089,1,Melanocyte,Tprkb
Pnpla71,0.00275862645329042,0.147795956694996,0.117,0.063,1,Melanocyte,Pnpla7
Akt1s13,0.0028267630849368,0.208622129102996,0.229,0.154,1,Melanocyte,Akt1s1
Hsp90ab16,0.00283838752988066,0.216429336711628,0.92,0.875,1,Melanocyte,Hsp90ab1
Ift521,0.00287867338926045,0.12412257333289,0.133,0.076,1,Melanocyte,Ift52
Rabep2,0.00288751194417872,0.103842879134944,0.106,0.056,1,Melanocyte,Rabep2
Lonp13,0.00289819235419417,0.240802005052525,0.213,0.141,1,Melanocyte,Lonp1
Zmym41,0.00289989784496241,0.241856953672485,0.261,0.187,1,Melanocyte,Zmym4
Nln2,0.00293110378230469,0.0775215753831792,0.144,0.083,1,Melanocyte,Nln
Btf3l41,0.00294872077478013,0.12518590697495,0.128,0.072,1,Melanocyte,Btf3l4
Dip2b3,0.00296314568993453,0.180016780529181,0.245,0.167,1,Melanocyte,Dip2b
Lrp63,0.00300580297313546,0.320882565988502,0.346,0.27,1,Melanocyte,Lrp6
Foxc13,0.00300943481272309,0.182674879348094,0.117,0.064,1,Melanocyte,Foxc1
Cox7c5,0.00302629268002103,0.300727432590958,0.681,0.673,1,Melanocyte,Cox7c
Rps92,0.00304997402800411,0.196464916110175,0.92,0.929,1,Melanocyte,Rps9
Klhl91,0.00306088941161796,0.265298487046828,0.261,0.191,1,Melanocyte,Klhl9
Zfyve271,0.00308535172121867,0.142651182780573,0.144,0.083,1,Melanocyte,Zfyve27
Wdr62,0.00309803690709806,0.105932868950859,0.117,0.064,1,Melanocyte,Wdr6
Vsig103,0.00312054149882376,0.157689473311092,0.112,0.06,1,Melanocyte,Vsig10
Ddrgk14,0.00312406574708301,0.335884174882401,0.399,0.34,1,Melanocyte,Ddrgk1
Mpc24,0.00313100651027622,0.31894919384019,0.484,0.425,1,Melanocyte,Mpc2
Snx302,0.00313123397790437,0.158401441706813,0.154,0.092,1,Melanocyte,Snx30
Papola1,0.00314961000552676,0.443493367452061,0.441,0.4,1,Melanocyte,Papola
Suclg24,0.00315014494963038,0.250772534423983,0.202,0.135,1,Melanocyte,Suclg2
Acot71,0.00315280087224964,0.165947718491639,0.149,0.091,1,Melanocyte,Acot7
Ddx543,0.00316208117153252,0.488210146984422,0.314,0.242,1,Melanocyte,Ddx54
Kmt5b2,0.00317973706889042,0.295061185354345,0.356,0.274,1,Melanocyte,Kmt5b
Anks32,0.00318446384616295,0.097988598463707,0.138,0.08,1,Melanocyte,Anks3
Retreg21,0.00319269110148549,0.391306743272154,0.223,0.158,1,Melanocyte,Retreg2
Rabac13,0.00321483702008025,0.406634208125925,0.59,0.567,1,Melanocyte,Rabac1
Gpr1461,0.0032250783853466,0.20075007517944,0.112,0.061,1,Melanocyte,Gpr146
Ints15,0.00326351998443494,0.162370211516749,0.138,0.082,1,Melanocyte,Ints1
Mnt1,0.00328950068335355,0.18332377724968,0.255,0.177,1,Melanocyte,Mnt
Kif1b4,0.00330719288341997,0.401695532360719,0.473,0.4,1,Melanocyte,Kif1b
Park73,0.0033901404559475,0.397647003193007,0.473,0.446,1,Melanocyte,Park7
Cfap203,0.00339386981336335,0.337000608174507,0.287,0.216,1,Melanocyte,Cfap20
Snx102,0.00340051437489292,0.133714460907786,0.309,0.22,1,Melanocyte,Snx10
Rlim4,0.00341710260182394,0.336700185748295,0.457,0.392,1,Melanocyte,Rlim
Snhg65,0.00345737952244584,0.245316952544389,0.309,0.229,1,Melanocyte,Snhg6
Acvr12,0.0034804027886501,0.207687943742987,0.197,0.13,1,Melanocyte,Acvr1
Smc63,0.0034929050413902,0.294943828301057,0.415,0.34,1,Melanocyte,Smc6
Inf24,0.00353358914029746,0.233606080718615,0.202,0.134,1,Melanocyte,Inf2
Thrap31,0.00356807193401757,0.341014384415895,0.468,0.41,1,Melanocyte,Thrap3
Mrpl164,0.00356809891381321,0.157941519890198,0.165,0.102,1,Melanocyte,Mrpl16
Cd2ap3,0.00357571150616268,0.297197870102627,0.383,0.307,1,Melanocyte,Cd2ap
Mtss1l2,0.00357685448094703,0.22987186357507,0.17,0.108,1,Melanocyte,Mtss1l
4931406P16Rik3,0.00358086461645168,0.211586214524722,0.255,0.179,1,Melanocyte,4931406P16Rik
Ubac13,0.0035909050915793,0.161016202993196,0.149,0.09,1,Melanocyte,Ubac1
Tomm70a3,0.00360575058614326,0.230749262175879,0.298,0.222,1,Melanocyte,Tomm70a
Zfp6091,0.00361107975381415,0.239099161001864,0.218,0.15,1,Melanocyte,Zfp609
Sap301,0.00369567575530435,0.228855602862883,0.213,0.141,1,Melanocyte,Sap30
Eftud21,0.00378185123858655,0.211616034476307,0.197,0.131,1,Melanocyte,Eftud2
Lmbrd21,0.00378456123211148,0.26875582260394,0.197,0.129,1,Melanocyte,Lmbrd2
Trpc13,0.00383463829252256,0.272928644116455,0.138,0.085,1,Melanocyte,Trpc1
Eml21,0.00384128386280679,0.146450696430213,0.112,0.063,1,Melanocyte,Eml2
Wdr831,0.0038755392323131,0.171225083207945,0.128,0.074,1,Melanocyte,Wdr83
Arhgef125,0.00397653820979253,0.30465717114862,0.521,0.439,1,Melanocyte,Arhgef12
Ptov13,0.00398210785783608,0.295930792094955,0.41,0.338,1,Melanocyte,Ptov1
Ddt2,0.00404731413456933,0.340591360107188,0.298,0.233,1,Melanocyte,Ddt
Hspa25,0.00407483254146081,0.522799016759565,0.25,0.185,1,Melanocyte,Hspa2
Htatip22,0.00410979068530888,0.0352206735284331,0.053,0.125,1,Melanocyte,Htatip2
Malsu13,0.00411722687103974,0.184084386345515,0.229,0.159,1,Melanocyte,Malsu1
Slc7a12,0.00412551317246848,0.27218943641998,0.25,0.179,1,Melanocyte,Slc7a1
Xrn11,0.00414089226899696,0.263667122804203,0.303,0.231,1,Melanocyte,Xrn1
Vps112,0.00416686340845555,0.131457328456025,0.165,0.102,1,Melanocyte,Vps11
Timm134,0.00421701066491857,0.409275309270319,0.473,0.448,1,Melanocyte,Timm13
Got23,0.00422439301252516,0.276563836687232,0.298,0.228,1,Melanocyte,Got2
Ahdc13,0.00423277164309988,0.41715111655116,0.261,0.192,1,Melanocyte,Ahdc1
Ivd2,0.00424347795846153,0.164483852608476,0.138,0.084,1,Melanocyte,Ivd
Ythdc12,0.00429112854726018,0.354295947977204,0.559,0.521,1,Melanocyte,Ythdc1
Anp32b3,0.00432849996848356,0.342654381416222,0.569,0.556,1,Melanocyte,Anp32b
Pspc12,0.00434142588462949,0.301887509967256,0.229,0.159,1,Melanocyte,Pspc1
Mkl23,0.00435503808303888,0.237791734709725,0.181,0.118,1,Melanocyte,Mkl2
Zfp6514,0.00441058870999361,0.168118645827755,0.234,0.161,1,Melanocyte,Zfp651
Zc3h144,0.0044435870395571,0.177901454730578,0.298,0.223,1,Melanocyte,Zc3h14
Pex161,0.00444783173099444,0.175817661451182,0.106,0.059,1,Melanocyte,Pex16
Mpv173,0.00445307682000037,0.197328802843362,0.181,0.118,1,Melanocyte,Mpv17
Mxd45,0.00446227411118179,0.288821859185862,0.463,0.403,1,Melanocyte,Mxd4
Fam122a1,0.00447170695629043,0.147894923235003,0.149,0.089,1,Melanocyte,Fam122a
Banf13,0.00448524067245519,0.411930145108133,0.356,0.302,1,Melanocyte,Banf1
Pnkd4,0.00450699255196858,0.186418480020439,0.282,0.208,1,Melanocyte,Pnkd
Hnrnpu1,0.00451766933075378,0.263886445324728,0.782,0.748,1,Melanocyte,Hnrnpu
Uqcrb5,0.00452592304638324,0.323776603577353,0.564,0.528,1,Melanocyte,Uqcrb
Hnrnpm2,0.00457229150017595,0.283236784226849,0.569,0.521,1,Melanocyte,Hnrnpm
Cep441,0.0045903417675818,0.0622882396807742,0.117,0.066,1,Melanocyte,Cep44
Dicer12,0.0046018333206771,0.247631622367014,0.261,0.186,1,Melanocyte,Dicer1
Zdhhc42,0.00462690069766108,0.15982400952433,0.128,0.075,1,Melanocyte,Zdhhc4
Bub33,0.00465461226741177,0.218358356201164,0.277,0.205,1,Melanocyte,Bub3
Dgcr63,0.0046649635666683,0.237032221919123,0.239,0.174,1,Melanocyte,Dgcr6
Fam76a3,0.0046677658999762,0.272803747275639,0.324,0.249,1,Melanocyte,Fam76a
Serpinb82,0.00468749365972769,0.145112416352162,0.149,0.089,1,Melanocyte,Serpinb8
Fbxl202,0.00479036926282154,0.234300177690023,0.186,0.122,1,Melanocyte,Fbxl20
Aco12,0.00481301614469608,0.281690572891852,0.17,0.111,1,Melanocyte,Aco1
Abcf13,0.00481601021200813,0.287745188427373,0.404,0.33,1,Melanocyte,Abcf1
Trpm71,0.0048222629516485,0.359634590749771,0.457,0.403,1,Melanocyte,Trpm7
Mrpl513,0.00485393918999756,0.332062380613699,0.319,0.255,1,Melanocyte,Mrpl51
Mrpl384,0.00487421168502608,0.298835252926615,0.229,0.161,1,Melanocyte,Mrpl38
Tsnax4,0.00488682467976742,0.142299389982416,0.213,0.143,1,Melanocyte,Tsnax
Vdac33,0.00490380858560751,0.287570823820959,0.415,0.358,1,Melanocyte,Vdac3
Mau21,0.00495469448067664,0.192013250711124,0.266,0.191,1,Melanocyte,Mau2
